,money,name,share1,share10,share2,share3,share4,share5,share6,share7,share8,share9
0,NO,Player 1,ARGENTINA,SERBIA,PORTUGAL,GERMANY,SERBIA,BRAZIL,BELGIUM,FRANCE,ARGENTINA,PORTUGAL
1,YES,Player 2,ARGENTINA,ENGLAND,ARGENTINA,CROATIA,MEXICO,USA,SERBIA,PORTUGAL,FRANCE,AUSTRALIA
2,NO,Player 3,SPAIN,BRAZIL,SPAIN,SPAIN,SPAIN,NETHERLANDS,NETHERLANDS,BRAZIL,SOUTH KOREA,WALES
3,YES,Player 4,SENEGAL,DENMARK,WALES,POLAND,SWITZERLAND,GERMANY,BELGIUM,BELGIUM,SERBIA,POLAND
4,YES,Player 5,ENGLAND,SPAIN,ENGLAND,FRANCE,FRANCE,FRANCE,ENGLAND,SPAIN,SPAIN,SPAIN
5,YES,Player 6,SPAIN,POLAND,SPAIN,CROATIA,SAUDI ARABIA,SPAIN,ENGLAND,ENGLAND,ENGLAND,BELGIUM
6,YES,Player 7,ARGENTINA,BRAZIL,ARGENTINA,ARGENTINA,ARGENTINA,GERMANY,GERMANY,GERMANY,BRAZIL,BRAZIL
7,YES,Player 8,ARGENTINA,FRANCE,ARGENTINA,GERMANY,GERMANY,GERMANY,GERMANY,PORTUGAL,PORTUGAL,FRANCE
8,NO,Player 9,BELGIUM,DENMARK,BELGIUM,BELGIUM,BELGIUM,BRAZIL,BRAZIL,CROATIA,CROATIA,DENMARK
9,YES,Player 10,ARGENTINA,ARGENTINA,QATAR,URUGUAY,BELGIUM,USA,SWITZERLAND,ECUADOR,MEXICO,TUNISIA
10,YES,Player 11,ARGENTINA,SPAIN,ENGLAND,AUSTRALIA,BELGIUM,BRAZIL,PORTUGAL,URUGUAY,CROATIA,GERMANY
11,YES,Player 12,ARGENTINA,NETHERLANDS,WALES,MEXICO,BRAZIL,URUGUAY,CROATIA,FRANCE,ECUADOR,ENGLAND
12,YES,Player 13,DENMARK,FRANCE,DENMARK,DENMARK,DENMARK,NETHERLANDS,NETHERLANDS,NETHERLANDS,NETHERLANDS,BELGIUM
13,YES,Player 14,ECUADOR,PORTUGAL,USA,POLAND,DENMARK,GHANA,GHANA,PORTUGAL,NETHERLANDS,NETHERLANDS
14,NO,Player 15,QATAR,USA,PORTUGAL,NETHERLANDS,BELGIUM,BRAZIL,ENGLAND,CAMEROON,GERMANY,IRAN
15,NO,Player 16,AUSTRALIA,CANADA,ENGLAND,CANADA,GERMANY,USA,SWITZERLAND,BELGIUM,AUSTRALIA,ENGLAND
16,NO,Player 17,PORTUGAL,ARGENTINA,QATAR,CROATIA,NETHERLANDS,BRAZIL,ENGLAND,GERMANY,SPAIN,ARGENTINA
17,NO,Player 18,NETHERLANDS,SERBIA,ARGENTINA,FRANCE,SPAIN,BELGIUM,BRAZIL,URUGUAY,PORTUGAL,ENGLAND
18,YES,Player 19,CROATIA,PORTUGAL,ENGLAND,FRANCE,GERMANY,BRAZIL,ECUADOR,NETHERLANDS,MEXICO,DENMARK
19,YES,Player 20,PORTUGAL,NETHERLANDS,URUGUAY,SERBIA,CROATIA,POLAND,GERMANY,ENGLAND,URUGUAY,DENMARK
20,YES,Player 21,URUGUAY,GERMANY,POLAND,POLAND,NETHERLANDS,CROATIA,NETHERLANDS,WALES,URUGUAY,GERMANY
21,YES,Player 22,NETHERLANDS,PORTUGAL,NETHERLANDS,ARGENTINA,ARGENTINA,ENGLAND,ENGLAND,FRANCE,FRANCE,CANADA
22,YES,Player 23,ENGLAND,PORTUGAL,GERMANY,BRAZIL,BRAZIL,DENMARK,BELGIUM,USA,WALES,CROATIA
23,YES,Player 24,MEXICO,MEXICO,MEXICO,MEXICO,USA,USA,PORTUGAL,CAMEROON,DENMARK,MOROCCO
24,YES,Player 25,ARGENTINA,GERMANY,BRAZIL,GERMANY,BELGIUM,ENGLAND,FRANCE,PORTUGAL,ARGENTINA,BRAZIL
25,YES,Player 26,FRANCE,ENGLAND,ARGENTINA,ARGENTINA,FRANCE,GERMANY,PORTUGAL,PORTUGAL,ENGLAND,ENGLAND
26,YES,Player 27,ARGENTINA,SWITZERLAND,ENGLAND,URUGUAY,USA,JAPAN,SERBIA,DENMARK,MOROCCO,NETHERLANDS
27,YES,Player 28,DENMARK,POLAND,DENMARK,BELGIUM,BELGIUM,URUGUAY,GHANA,BRAZIL,BRAZIL,BRAZIL
28,YES,Player 29,SERBIA,QATAR,SERBIA,FRANCE,FRANCE,FRANCE,DENMARK,POLAND,ENGLAND,ENGLAND
29,YES,Player 30,NETHERLANDS,POLAND,NETHERLANDS,URUGUAY,URUGUAY,DENMARK,DENMARK,FRANCE,FRANCE,FRANCE
30,NO,Player 31,DENMARK,DENMARK,ARGENTINA,ARGENTINA,ARGENTINA,DENMARK,BRAZIL,BRAZIL,BRAZIL,DENMARK
31,NO,Player 32,ARGENTINA,BRAZIL,BRAZIL,FRANCE,GERMANY,ARGENTINA,ARGENTINA,BRAZIL,GERMANY,FRANCE
32,NO,Player 33,ARGENTINA,PORTUGAL,CROATIA,ENGLAND,FRANCE,GERMANY,POLAND,SERBIA,URUGUAY,SPAIN
33,YES,Player 34,NETHERLANDS,PORTUGAL,NETHERLANDS,FRANCE,FRANCE,GERMANY,GERMANY,ARGENTINA,ARGENTINA,SPAIN
34,NO,Player 35,ARGENTINA,CANADA,ARGENTINA,ARGENTINA,ARGENTINA,FRANCE,FRANCE,FRANCE,BRAZIL,BRAZIL
35,YES,Player 36,ARGENTINA,FRANCE,ARGENTINA,ARGENTINA,BRAZIL,BRAZIL,BRAZIL,SERBIA,SERBIA,FRANCE
36,YES,Player 37,JAPAN,SWITZERLAND,QATAR,BELGIUM,BRAZIL,COSTA RICA,JAPAN,JAPAN,AUSTRALIA,SWITZERLAND
37,NO,Player 38,SERBIA,ARGENTINA,WALES,PORTUGAL,PORTUGAL,NETHERLANDS,ENGLAND,ENGLAND,BRAZIL,ARGENTINA
38,YES,Player 39,SERBIA,PORTUGAL,ARGENTINA,ARGENTINA,BRAZIL,BRAZIL,ENGLAND,ENGLAND,FRANCE,FRANCE
39,NO,Player 40,BRAZIL,PORTUGAL,ARGENTINA,FRANCE,GERMANY,NETHERLANDS,SPAIN,ENGLAND,BELGIUM,SERBIA
40,NO,Player 41,PORTUGAL,NETHERLANDS,PORTUGAL,BRAZIL,BRAZIL,BELGIUM,ENGLAND,FRANCE,GERMANY,SPAIN
41,NO,Player 42,ARGENTINA,SPAIN,SENEGAL,SENEGAL,SENEGAL,URUGUAY,URUGUAY,ARGENTINA,SPAIN,SPAIN
42,YES,Player 43,BRAZIL,URUGUAY,BRAZIL,BRAZIL,FRANCE,ARGENTINA,ARGENTINA,ARGENTINA,ARGENTINA,FRANCE
43,NO,Player 44,GERMANY,NETHERLANDS,BELGIUM,MOROCCO,CANADA,JAPAN,BRAZIL,CAMEROON,TUNISIA,ARGENTINA
44,NO,Player 45,ARGENTINA,BELGIUM,BRAZIL,ENGLAND,FRANCE,PORTUGAL,GERMANY,SPAIN,BELGIUM,BELGIUM
45,NO,Player 46,PORTUGAL,URUGUAY,PORTUGAL,BRAZIL,SENEGAL,IRAN,SERBIA,DENMARK,ARGENTINA,MOROCCO
46,YES,Player 47,NETHERLANDS,NETHERLANDS,POLAND,POLAND,DENMARK,NETHERLANDS,DENMARK,SENEGAL,SENEGAL,ARGENTINA
47,NO,Player 48,NETHERLANDS,ARGENTINA,POLAND,POLAND,DENMARK,NETHERLANDS,DENMARK,SENEGAL,SENEGAL,ARGENTINA
48,NO,Player 49,ARGENTINA,FRANCE,ARGENTINA,NETHERLANDS,NETHERLANDS,GERMANY,ARGENTINA,BRAZIL,BRAZIL,BRAZIL
49,YES,Player 50,SWITZERLAND,BELGIUM,CANADA,MOROCCO,POLAND,ARGENTINA,DENMARK,GERMANY,FRANCE,USA
50,NO,Player 51,DENMARK,ENGLAND,NETHERLANDS,SOUTH KOREA,FRANCE,FRANCE,DENMARK,NETHERLANDS,CANADA,PORTUGAL
51,YES,Player 52,CANADA,NETHERLANDS,BELGIUM,BELGIUM,NETHERLANDS,NETHERLANDS,DENMARK,USA,USA,GHANA
52,NO,Player 53,ARGENTINA,QATAR,BRAZIL,ENGLAND,SPAIN,URUGUAY,FRANCE,GERMANY,PORTUGAL,BELGIUM
53,NO,Player 54,ENGLAND,WALES,ARGENTINA,DENMARK,SPAIN,BRAZIL,CANADA,FRANCE,GERMANY,NETHERLANDS
54,YES,Player 55,SENEGAL,URUGUAY,SENEGAL,SERBIA,SERBIA,DENMARK,DENMARK,DENMARK,URUGUAY,URUGUAY
55,NO,Player 56,ARGENTINA,ARGENTINA,ARGENTINA,FRANCE,GERMANY,NETHERLANDS,NETHERLANDS,BRAZIL,BRAZIL,NETHERLANDS
56,YES,Player 57,FRANCE,CROATIA,FRANCE,FRANCE,FRANCE,CROATIA,COSTA RICA,ARGENTINA,BELGIUM,BELGIUM
57,YES,Player 58,ARGENTINA,BELGIUM,ARGENTINA,BRAZIL,BRAZIL,ENGLAND,ENGLAND,BELGIUM,BELGIUM,BELGIUM
58,YES,Player 59,SERBIA,SERBIA,SERBIA,CROATIA,CROATIA,USA,ARGENTINA,ARGENTINA,USA,WALES
59,YES,Player 60,SAUDI ARABIA,CROATIA,MEXICO,ARGENTINA,ARGENTINA,CAMEROON,QATAR,FRANCE,PORTUGAL,FRANCE
60,NO,Player 61,ARGENTINA,PORTUGAL,ARGENTINA,ARGENTINA,BRAZIL,BRAZIL,BRAZIL,QATAR,PORTUGAL,URUGUAY
61,YES,Player 62,ARGENTINA,PORTUGAL,ARGENTINA,BRAZIL,BRAZIL,BRAZIL,ARGENTINA,MEXICO,BELGIUM,FRANCE
62,NO,Player 63,NETHERLANDS,SERBIA,NETHERLANDS,NETHERLANDS,SERBIA,URUGUAY,CAMEROON,DENMARK,MEXICO,URUGUAY
63,YES,Player 64,QATAR,SOUTH KOREA,ECUADOR,SENEGAL,ARGENTINA,GERMANY,TUNISIA,PORTUGAL,GHANA,URUGUAY
64,YES,Player 65,SERBIA,WALES,MOROCCO,MEXICO,URUGUAY,POLAND,FRANCE,POLAND,WALES,FRANCE
65,YES,Player 66,BRAZIL,NETHERLANDS,BRAZIL,BRAZIL,ARGENTINA,ARGENTINA,ARGENTINA,BELGIUM,BELGIUM,BELGIUM
66,YES,Player 67,MOROCCO,PORTUGAL,MOROCCO,USA,USA,ARGENTINA,ARGENTINA,ARGENTINA,PORTUGAL,PORTUGAL
67,YES,Player 68,QATAR,ENGLAND,USA,DENMARK,MEXICO,PORTUGAL,PORTUGAL,BRAZIL,SENEGAL,BRAZIL
68,NO,Player 69,ARGENTINA,URUGUAY,ARGENTINA,PORTUGAL,PORTUGAL,PORTUGAL,SPAIN,SPAIN,SPAIN,ARGENTINA
69,YES,Player 70,GERMANY,BRAZIL,URUGUAY,CROATIA,GERMANY,URUGUAY,NETHERLANDS,GERMANY,NETHERLANDS,BRAZIL
70,YES,Player 71,SWITZERLAND,BRAZIL,SWITZERLAND,DENMARK,DENMARK,DENMARK,ARGENTINA,ARGENTINA,ARGENTINA,BRAZIL
71,YES,Player 72,BRAZIL,BRAZIL,NETHERLANDS,BELGIUM,SPAIN,ENGLAND,FRANCE,GERMANY,PORTUGAL,ARGENTINA
72,NO,Player 73,SERBIA,BRAZIL,MOROCCO,FRANCE,SPAIN,SENEGAL,NETHERLANDS,ENGLAND,ARGENTINA,QATAR
73,YES,Player 74,FRANCE,BELGIUM,FRANCE,FRANCE,PORTUGAL,PORTUGAL,PORTUGAL,BRAZIL,ENGLAND,NETHERLANDS
74,NO,Player 75,SENEGAL,ARGENTINA,SENEGAL,SENEGAL,DENMARK,DENMARK,URUGUAY,URUGUAY,SERBIA,ARGENTINA
75,YES,Player 76,ENGLAND,NETHERLANDS,ENGLAND,ENGLAND,BRAZIL,BRAZIL,BRAZIL,SERBIA,SERBIA,NETHERLANDS
76,YES,Player 77,SENEGAL,POLAND,SENEGAL,FRANCE,ARGENTINA,ARGENTINA,BRAZIL,PORTUGAL,BRAZIL,GERMANY
77,YES,Player 78,PORTUGAL,SPAIN,PORTUGAL,PORTUGAL,FRANCE,ENGLAND,ENGLAND,QATAR,SENEGAL,SPAIN
78,YES,Player 79,ARGENTINA,SERBIA,BRAZIL,FRANCE,CROATIA,SERBIA,CROATIA,GHANA,BELGIUM,SENEGAL
79,YES,Player 80,PORTUGAL,ARGENTINA,BRAZIL,BRAZIL,ENGLAND,ENGLAND,ENGLAND,ENGLAND,ARGENTINA,ARGENTINA
80,NO,Player 81,ARGENTINA,ARGENTINA,ARGENTINA,BRAZIL,BRAZIL,FRANCE,FRANCE,SPAIN,ENGLAND,PORTUGAL
81,YES,Player 82,BRAZIL,GERMANY,BRAZIL,FRANCE,FRANCE,FRANCE,DENMARK,DENMARK,GERMANY,GERMANY
82,YES,Player 83,NETHERLANDS,POLAND,NETHERLANDS,NETHERLANDS,BELGIUM,BELGIUM,BELGIUM,BRAZIL,BRAZIL,GHANA
83,NO,Player 84,NETHERLANDS,SPAIN,NETHERLANDS,USA,ARGENTINA,FRANCE,FRANCE,PORTUGAL,BRAZIL,GERMANY
84,NO,Player 85,NETHERLANDS,DENMARK,ENGLAND,ARGENTINA,FRANCE,SPAIN,BELGIUM,BRAZIL,PORTUGAL,GERMANY
85,NO,Player 86,ENGLAND,PORTUGAL,ENGLAND,FRANCE,FRANCE,GERMANY,GERMANY,SERBIA,SERBIA,PORTUGAL
86,YES,Player 87,ARGENTINA,FRANCE,PORTUGAL,BRAZIL,FRANCE,ARGENTINA,PORTUGAL,SPAIN,BRAZIL,BRAZIL
87,NO,Player 88,PORTUGAL,PORTUGAL,DENMARK,GERMANY,CROATIA,MEXICO,URUGUAY,SWITZERLAND,USA,GERMANY
88,YES,Player 89,SERBIA,ENGLAND,SERBIA,SERBIA,CROATIA,CROATIA,CROATIA,GERMANY,GERMANY,ENGLAND
89,NO,Player 90,SOUTH KOREA,ENGLAND,GERMANY,BRAZIL,BRAZIL,SPAIN,GERMANY,GERMANY,SPAIN,SPAIN
90,NO,Player 91,BRAZIL,ARGENTINA,BRAZIL,BRAZIL,BRAZIL,BELGIUM,BELGIUM,BELGIUM,BELGIUM,ARGENTINA
91,NO,Player 92,BRAZIL,ARGENTINA,BRAZIL,BRAZIL,FRANCE,FRANCE,FRANCE,ENGLAND,ENGLAND,ARGENTINA
92,YES,Player 93,ARGENTINA,BELGIUM,ARGENTINA,ARGENTINA,NETHERLANDS,URUGUAY,BRAZIL,BRAZIL,SERBIA,ENGLAND
93,YES,Player 94,BRAZIL,SENEGAL,BRAZIL,BRAZIL,BRAZIL,FRANCE,FRANCE,ENGLAND,ENGLAND,GERMANY
94,NO,Player 95,GERMANY,SPAIN,GERMANY,GERMANY,GERMANY,PORTUGAL,PORTUGAL,PORTUGAL,PORTUGAL,SPAIN
95,YES,Player 96,ARGENTINA,SPAIN,ARGENTINA,PORTUGAL,PORTUGAL,GERMANY,SENEGAL,FRANCE,FRANCE,BRAZIL
96,YES,Player 97,BRAZIL,BELGIUM,BRAZIL,BRAZIL,BRAZIL,ARGENTINA,ARGENTINA,GERMANY,GERMANY,FRANCE
97,NO,Player 98,ARGENTINA,SPAIN,ARGENTINA,ARGENTINA,BRAZIL,BRAZIL,BELGIUM,BELGIUM,ENGLAND,SPAIN
98,YES,Player 99,BRAZIL,CANADA,BRAZIL,BRAZIL,DENMARK,DENMARK,DENMARK,NETHERLANDS,NETHERLANDS,NETHERLANDS
99,NO,Player 100,ARGENTINA,GERMANY,ARGENTINA,ARGENTINA,ARGENTINA,BRAZIL,BRAZIL,BRAZIL,PORTUGAL,PORTUGAL
100,YES,Player 101,ARGENTINA,PORTUGAL,ARGENTINA,ARGENTINA,BRAZIL,BRAZIL,BRAZIL,FRANCE,FRANCE,PORTUGAL
101,NO,Player 102,SAUDI ARABIA,CAMEROON,ECUADOR,ENGLAND,AUSTRALIA,BELGIUM,BRAZIL,SENEGAL,GERMANY,USA
102,NO,Player 103,BRAZIL,GERMANY,BRAZIL,BELGIUM,BELGIUM,FRANCE,FRANCE,ENGLAND,ENGLAND,NETHERLANDS
103,YES,Player 104,SENEGAL,BELGIUM,WALES,ARGENTINA,DENMARK,SPAIN,CROATIA,GERMANY,URUGUAY,BELGIUM
104,YES,Player 105,DENMARK,MOROCCO,NETHERLANDS,MEXICO,URUGUAY,BRAZIL,CROATIA,SPAIN,NETHERLANDS,ARGENTINA
105,YES,Player 106,AUSTRALIA,USA,AUSTRALIA,NETHERLANDS,JAPAN,BRAZIL,BRAZIL,URUGUAY,URUGUAY,AUSTRALIA
106,YES,Player 107,ARGENTINA,SENEGAL,POLAND,DENMARK,MEXICO,ENGLAND,BRAZIL,FRANCE,GERMANY,SENEGAL
107,NO,Player 108,BRAZIL,GERMANY,BRAZIL,GERMANY,BELGIUM,GERMANY,ARGENTINA,FRANCE,BRAZIL,NETHERLANDS
108,YES,Player 109,BELGIUM,SPAIN,BRAZIL,ENGLAND,FRANCE,FRANCE,GHANA,GHANA,NETHERLANDS,SENEGAL
